type,value,status
COULD,dcat:Catalog dcat:record,used
COULD,dcat:Catalog dcat:service,used
COULD,dcat:Catalog dct:creator,used
COULD,dcat:Catalog dct:license,used
COULD,dcat:Dataset adms:identifier,used
COULD,dcat:Dataset adms:sample,used
COULD,dcat:Dataset adms:versionNotes,used
COULD,dcat:Dataset dcat:hasVersion,used
COULD,dcat:Dataset dcat:landingPage,used
COULD,dcat:Dataset dcat:qualifiedRelation,used
COULD,dcat:Dataset dcat:spatialResolutionInMeters,used
COULD,dcat:Dataset dcat:temporalResolution,used
COULD,dcat:Dataset dct:accessRights,used
COULD,dcat:Dataset dct:accrualPeriodicity,used
COULD,dcat:Dataset dct:conformsTo,used
COULD,dcat:Dataset dct:creator,used
COULD,dcat:Dataset dct:isReferencedBy,used
COULD,dcat:Dataset dct:issued,used
COULD,dcat:Dataset dct:language,used
COULD,dcat:Dataset dct:modified,used
COULD,dcat:Dataset dct:provenance,used
COULD,dcat:Dataset dct:relation,used
COULD,dcat:Dataset dct:source,used
COULD,dcat:Dataset dct:type,used
COULD,dcat:Dataset foaf:page,used
COULD,dcat:Dataset owl:versionInfo,used
COULD,dcat:Dataset prov:qualifiedAttribution,used
COULD,dcat:Dataset prov:wasGeneratedBy,used
COULD,dcat:Distribution adms:status,used
COULD,dcat:Distribution dcat:accessService,used
COULD,dcat:Distribution dcat:byteSize,used
COULD,dcat:Distribution dcat:compressFormat,used
COULD,dcat:Distribution dcat:downloadURL,used
COULD,dcat:Distribution dcat:mediaType,used
COULD,dcat:Distribution dcat:packageFormat,used
COULD,dcat:Distribution dcat:spatialResolutionInMeters,used
COULD,dcat:Distribution dcat:temporalResolution,used
COULD,dcat:Distribution dct:conformsTo,used
COULD,dcat:Distribution dct:issued,used
COULD,dcat:Distribution dct:language,used
COULD,dcat:Distribution dct:modified,used
COULD,dcat:Distribution dct:rights,used
COULD,dcat:Distribution dct:title,used
COULD,dcat:Distribution foaf:page,used
COULD,dcat:Distribution odrl:hasPolicy,used
COULD,dcat:Distribution spdx:checksum,used
COULD,dct:PeriodOfTime time:hasBeginning,used
COULD,dct:PeriodOfTime time:hasEnd,used
COULD,dcat:Dataset dcatap:applicablelegislation,unused
COULD,dcat:DatasetSeries dcatap:applicablelegislation,unused
COULD,dcat:Distribution dcatap:applicablelegislation,unused
COULD,dcat:Distribution dcatap:availability,unused
